event_code	hit_name	Description
1	hear_cue	A 200-ms word Hear that instructs subjects to attend to the auditory modality is presented. Cue is ignored in the Shift Condition Block. Cue is attended to in the Focus Condition Blocks FA and FV.
2	look-cue	A 200-ms word Look that instructs subjects to attend to the visual modality is presented. Cue is ignored in the Shift Condition Block. Cue is attended to in the Focus Condition Blocks FA andFV.
3	auditory_target	A 100-ms 550-Hz sine wave tone, amplitude modulated at 5-Hz, is played. Attended to during the FA blocks.
4	visual_ignored_target	A light blue 8.4 cm2 filled square visual stimulus is presented. Ignored during the FA blocks.
5	auditory_nontarget	A 500-Hz sine-wave tone, amplitude-modulated at 5 Hz, is played. Attended to during the FA blocks.
6	visual_ignored_nontarget	A dark-blue 8.4 cm2 filled square visual stimulus is presented. Ignored during the FV blocks.
7	auditory_focus_target	During the Shift Condition Block Hear, subject focuses on the 100-ms 550-Hz sine wave tone target.
8	visual_focus_target	During the Shift Condition Block See, subject focuses on the light blue 8.4 cm2 filled square target.
9	auditory_nonfocus_target	During the Shift Condition Block See, subject does not focus on the 100-ms 550-Hz sine wave tone target.
10	visual_nonfocus_target	During the Shift Condition Block Hear, subject ignores to the light blue 8.4 cm2 filled square target.
11	auditory_focus_nontarget	During the Shift Condition Block Hear, subject attends to the 100-ms 500-Hz sine wave tone played.
12	visual-nontarget	During the Shift Condition Block, subject attends to the dark blue 8.4 cm2 filled square.
13	auditory-nontarget	During the Shift Condition Block, subject ignores to the 100-ms 500-Hz sine wave tone played.
14	visual_nonfocus_nontarget	During the Shift Condition Block Hear, subject does not focus on the dark blue 8.4 cm2 filled square non-target.
23	auditory_ignored_target	A 100-ms 550-Hz sine wave tone, amplitude modulated at 5-Hz, is played. Ignored during the FV blocks.
24	visual_target	A light blue 8.4 cm2 filled square visual stimulus is presented. Attended to during the FV blocks.
25	auditory_ignored_nontarget	A 500-Hz sine-wave tone, amplitude-modulated at 5 Hz, is played. Ignored to during the Fv blocks.
26	visual_nontarget	A dark-blue 8.4 cm2 filled square visual stimulus is presented. Attended to during the FV blocks.
199	calibration	Used to measure the amplitudes of EEG potentials and needs to be calibrated with the data post-experiment.
201	button_press	The subject presses a button in response to detecting the target in the specific modality he or she is attending to.
202	pause	Data recording was stopped for a while, and shows where data may not be continuous.
